Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;44.3;44.25;µg-m3;100.0;100;100.0;A;1;41.924694;8.735694
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.4;21.375;µg-m3;100.0;100;100.0;A;1;42.697917;9.446417
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41003;AJACCIO PIATANICCIA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;11.6;11.6;µg-m3;100.0;100;100.0;R;1;41.958028;8.820278
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41004;BASTIA LA MARANA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;13.9;13.925;µg-m3;100.0;100;100.0;R;1;42.535833;9.475972
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41007;AJACCIO SPOSATA;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.5;17.5;µg-m3;100.0;100;100.0;A;1;41.949222;8.757583
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.5;11.45;µg-m3;100.0;100;100.0;R;1;42.671333;9.434639
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;49.6;49.55;µg-m3;96.0;100;96.0;R;1;41.92575;8.738278
2023/01/01 00:00:00;2023/01/01 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41060;BASTIA FANGO;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;35.9;35.925;µg-m3;100.0;100;100.0;R;1;42.702833;9.446389
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.2;42.15;µg-m3;100.0;100;100.0;R;1;41.924694;8.735694
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;10.0;10.0;µg-m3;100.0;100;100.0;A;1;42.697917;9.446417
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41003;AJACCIO PIATANICCIA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;23.2;23.15;µg-m3;100.0;100;100.0;R;1;41.958028;8.820278
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41004;BASTIA LA MARANA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;34.8;34.8;µg-m3;100.0;100;100.0;A;1;42.535833;9.475972
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41007;AJACCIO SPOSATA;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.5;21.45;µg-m3;100.0;100;100.0;R;1;41.949222;8.757583
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.4;17.425;µg-m3;100.0;100;100.0;A;1;42.671333;9.434639
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;58.5;58.5;µg-m3;92.0;100;92.0;R;1;41.92575;8.738278
2023/01/02 00:00:00;2023/01/02 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41060;BASTIA FANGO;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;30.4;30.4;µg-m3;100.0;100;100.0;R;1;42.702833;9.446389
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.9;41.85;µg-m3;100.0;100;100.0;A;1;41.924694;8.735694
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;34.9;34.925;µg-m3;100.0;100;100.0;A;1;42.697917;9.446417
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41003;AJACCIO PIATANICCIA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;19.1;19.1;µg-m3;100.0;100;100.0;R;1;41.958028;8.820278
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41004;BASTIA LA MARANA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;16.9;16.9;µg-m3;100.0;100;100.0;A;1;42.535833;9.475972
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41007;AJACCIO SPOSATA;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;18.4;18.375;µg-m3;100.0;100;100.0;A;1;41.949222;8.757583
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;26.0;25.975;µg-m3;100.0;100;100.0;A;1;42.671333;9.434639
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;87.0;86.95;µg-m3;96.0;100;96.0;R;1;41.92575;8.738278
2023/01/03 00:00:00;2023/01/03 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41060;BASTIA FANGO;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;56.0;55.95;µg-m3;100.0;100;100.0;R;1;42.702833;9.446389
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;31.9;31.875;µg-m3;100.0;100;100.0;A;1;41.924694;8.735694
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;37.1;37.075;µg-m3;96.0;100;96.0;A;1;42.697917;9.446417
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41003;AJACCIO PIATANICCIA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;13.1;13.125;µg-m3;100.0;100;100.0;R;1;41.958028;8.820278
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41004;BASTIA LA MARANA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;33.3;33.3;µg-m3;100.0;100;100.0;R;1;42.535833;9.475972
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41007;AJACCIO SPOSATA;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;22.7;22.675;µg-m3;100.0;100;100.0;A;1;41.949222;8.757583
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.1;17.1;µg-m3;100.0;100;100.0;R;1;42.671333;9.434639
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;49.6;49.56667;µg-m3;88.0;100;88.0;R;1;41.92575;8.738278
2023/01/04 00:00:00;2023/01/04 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41060;BASTIA FANGO;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;47.6;47.575;µg-m3;100.0;100;100.0;R;1;42.702833;9.446389
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;39.5;39.45;µg-m3;100.0;100;100.0;R;1;41.924694;8.735694
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;31.6;31.625;µg-m3;100.0;100;100.0;R;1;42.697917;9.446417
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41003;AJACCIO PIATANICCIA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;20.3;20.275;µg-m3;100.0;100;100.0;R;1;41.958028;8.820278
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41004;BASTIA LA MARANA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;20.1;20.125;µg-m3;100.0;100;100.0;A;1;42.535833;9.475972
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41007;AJACCIO SPOSATA;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.7;21.65;µg-m3;100.0;100;100.0;R;1;41.949222;8.757583
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.5;17.475;µg-m3;100.0;100;100.0;A;1;42.671333;9.434639
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;56.0;55.975;µg-m3;100.0;100;100.0;A;1;41.92575;8.738278
2023/01/05 00:00:00;2023/01/05 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41060;BASTIA FANGO;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;48.7;48.7;µg-m3;100.0;100;100.0;R;1;42.702833;9.446389
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.2;41.175;µg-m3;100.0;100;100.0;A;1;41.924694;8.735694
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;29.6;29.575;µg-m3;100.0;100;100.0;A;1;42.697917;9.446417
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41003;AJACCIO PIATANICCIA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;18.4;18.35;µg-m3;100.0;100;100.0;R;1;41.958028;8.820278
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41004;BASTIA LA MARANA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;31.6;31.625;µg-m3;100.0;100;100.0;R;1;42.535833;9.475972
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41007;AJACCIO SPOSATA;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;35.3;35.3;µg-m3;100.0;100;100.0;A;1;41.949222;8.757583
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;12.1;12.1;µg-m3;100.0;100;100.0;A;1;42.671333;9.434639
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;53.2;53.15;µg-m3;100.0;100;100.0;A;1;41.92575;8.738278
2023/01/06 00:00:00;2023/01/06 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41060;BASTIA FANGO;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;44.1;44.125;µg-m3;100.0;100;100.0;R;1;42.702833;9.446389
2023/01/07 00:00:00;2023/01/07 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41001;AJACCIO CANETTO;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;45.6;45.625;µg-m3;100.0;100;100.0;A;1;41.924694;8.735694
2023/01/07 00:00:00;2023/01/07 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41002;BASTIA GIRAUD;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;22.6;22.6;µg-m3;100.0;100;100.0;A;1;42.697917;9.446417
2023/01/07 00:00:00;2023/01/07 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41003;AJACCIO PIATANICCIA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;11.2;11.175;µg-m3;100.0;100;100.0;R;1;41.958028;8.820278
2023/01/07 00:00:00;2023/01/07 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41004;BASTIA LA MARANA;Périurbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;24.6;24.625;µg-m3;100.0;100;100.0;A;1;42.535833;9.475972
2023/01/07 00:00:00;2023/01/07 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41007;AJACCIO SPOSATA;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.8;21.75;µg-m3;100.0;100;100.0;A;1;41.949222;8.757583
2023/01/07 00:00:00;2023/01/07 23:59:59;QUALITAIR CORSE;FR94ZAR02;ZAR BASTIA;FR41017;BASTIA MONTESORO;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;13.9;13.9;µg-m3;100.0;100;100.0;R;1;42.671333;9.434639
2023/01/07 00:00:00;2023/01/07 23:59:59;QUALITAIR CORSE;FR94ZAR01;ZAR AJACCIO;FR41059;AJACCIO ABBATUCCI;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;60.8;60.75;µg-m3;96.0;100;96.0;R;1;41.92575;8.738278
