Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05089;Le Havre Lafaurie-montant;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;5.9;5.9416666667;µg-m3;100.0;100;100.0;A;1;49.500187;0.110903
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;8.4;8.3666666667;µg-m3;100.0;100;100.0;A;1;49.514686;0.100645
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21001;Caen Chemin-Vert;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;6.5;6.5208333333;µg-m3;100.0;100;100.0;A;1;49.19222;-0.391111
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21021;Lisieux;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.0;7.0458333333;µg-m3;100.0;100;100.0;A;1;49.147224;0.227222
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21031;Alençon Météo-France;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.5;7.4666666667;µg-m3;100.0;100;100.0;A;1;48.445553;0.110833
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21038;Cherbourg Hotel de Ville;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.2;7.1708333333;µg-m3;100.0;100;100.0;A;1;49.64225;-1.624361
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21050;La Coulonche MERA;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.3;5.3375;µg-m3;100.0;100;100.0;A;1;48.645;-0.458333
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.9791666667;µg-m3;100.0;100;100.0;A;1;49.442358;1.093789
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25039;Evreux Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.4;7.375;µg-m3;100.0;100;100.0;A;1;49.02134;1.148319
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25051;Dieppe prox-auto;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;7.4;7.4375;µg-m3;100.0;100;100.0;A;1;49.918007;1.073972
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25053;Rouen Proxi Quai de Paris;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;8.0;7.9625;µg-m3;100.0;100;100.0;A;1;49.436699;1.098838
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25055;Dieppe Golf;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.0;6.9833333333;µg-m3;100.0;100;100.0;A;1;49.920492;1.047892
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;10.0;10.2666666667;µg-m3;38.0;100;38.0;N;-1;49.498295;0.758833
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05089;Le Havre Lafaurie-montant;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;5.4;5.3583333333;µg-m3;100.0;100;100.0;A;1;49.500187;0.110903
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;6.2;6.1875;µg-m3;100.0;100;100.0;A;1;49.514686;0.100645
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21001;Caen Chemin-Vert;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;4.6;4.5791666667;µg-m3;100.0;100;100.0;A;1;49.19222;-0.391111
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21021;Lisieux;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.2;5.2041666667;µg-m3;100.0;100;100.0;A;1;49.147224;0.227222
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21031;Alençon Météo-France;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;4.9;4.8958333333;µg-m3;100.0;100;100.0;A;1;48.445553;0.110833
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21038;Cherbourg Hotel de Ville;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;4.9;4.8875;µg-m3;100.0;100;100.0;A;1;49.64225;-1.624361
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21050;La Coulonche MERA;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;2.7;2.65;µg-m3;100.0;100;100.0;A;1;48.645;-0.458333
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.8;7.7958333333;µg-m3;100.0;100;100.0;A;1;49.442358;1.093789
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25039;Evreux Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.7;5.675;µg-m3;100.0;100;100.0;A;1;49.02134;1.148319
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25051;Dieppe prox-auto;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;7.7;7.6666666667;µg-m3;100.0;100;100.0;A;1;49.918007;1.073972
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25053;Rouen Proxi Quai de Paris;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;9.2;9.175;µg-m3;100.0;100;100.0;A;1;49.436699;1.098838
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25055;Dieppe Golf;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;4.5;4.5416666667;µg-m3;100.0;100;100.0;A;1;49.920492;1.047892
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;3.0;3.0;µg-m3;100.0;100;100.0;A;1;49.498295;0.758833
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05089;Le Havre Lafaurie-montant;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;3.4;3.4130434783;µg-m3;96.0;100;96.0;A;1;49.500187;0.110903
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;5.6;5.6125;µg-m3;100.0;100;100.0;A;1;49.514686;0.100645
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21001;Caen Chemin-Vert;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;3.9;3.9041666667;µg-m3;100.0;100;100.0;A;1;49.19222;-0.391111
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21021;Lisieux;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;4.9;4.8625;µg-m3;100.0;100;100.0;A;1;49.147224;0.227222
