Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19002;Rennes Laennec;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;15.7;15.675;µg-m3;100.0;100;100.0;A;1;48.10861;-1.66586
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19007;Rennes Les Halles;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;25.9;25.85;µg-m3;100.0;100;100.0;A;1;48.10751;-1.67984
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19012;Brest Mace;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.5;15.525;µg-m3;100.0;100;100.0;A;1;48.38618;-4.4866
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19014;Brest Desmoulins;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;56.1;56.075;µg-m3;100.0;100;100.0;A;1;48.39746;-4.48871
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19020;Kergoff;Rurale nationale;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;8.8;8.815;µg-m3;100.0;100;100.0;A;1;48.261963;-2.943631
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19032;Lorient B. Bissonnet;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;31.2;31.2;µg-m3;100.0;100;100.0;A;1;47.7425;-3.39501
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19033;Vannes UTA;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;5.0;5.025;µg-m3;100.0;100;100.0;R;1;47.64892;-2.76399
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19037;Lorient Normandie;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;35.0;34.975;µg-m3;100.0;100;100.0;A;1;47.758947;-3.36938
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19039;Rennes Thabor;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.9;11.85;µg-m3;100.0;100;100.0;A;1;48.11521;-1.673088
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19053;Quimper Zola;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;16.5;16.525;µg-m3;100.0;100;100.0;R;1;47.986606;-4.097658
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19061;Saint Brieuc Balzac;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;14.0;13.975;µg-m3;100.0;100;100.0;A;1;48.51351;-2.74953
2023/01/01 00:00:00;2023/01/01 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19082;StMalo Rocabey;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.8;21.8;µg-m3;100.0;100;100.0;A;1;48.65306;-2.00268
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19002;Rennes Laennec;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;63.9;63.9;µg-m3;96.0;100;96.0;A;1;48.10861;-1.66586
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19007;Rennes Les Halles;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;53.3;53.25;µg-m3;96.0;100;96.0;A;1;48.10751;-1.67984
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19012;Brest Mace;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.7;54.725;µg-m3;100.0;100;100.0;R;1;48.38618;-4.4866
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19014;Brest Desmoulins;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;63.0;63.025;µg-m3;100.0;100;100.0;R;1;48.39746;-4.48871
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19020;Kergoff;Rurale nationale;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;9.9;9.86;µg-m3;100.0;100;100.0;A;1;48.261963;-2.943631
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19032;Lorient B. Bissonnet;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;49.2;49.15;µg-m3;96.0;100;96.0;A;1;47.7425;-3.39501
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19033;Vannes UTA;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.8;42.75;µg-m3;96.0;100;96.0;A;1;47.64892;-2.76399
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19037;Lorient Normandie;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;75.3;75.3;µg-m3;100.0;100;100.0;R;1;47.758947;-3.36938
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19039;Rennes Thabor;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;39.9;39.9;µg-m3;96.0;100;96.0;A;1;48.11521;-1.673088
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19053;Quimper Zola;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.8;42.775;µg-m3;96.0;100;96.0;A;1;47.986606;-4.097658
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19061;Saint Brieuc Balzac;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;46.3;46.25;µg-m3;96.0;100;96.0;A;1;48.51351;-2.74953
2023/01/02 00:00:00;2023/01/02 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19082;StMalo Rocabey;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;30.2;30.175;µg-m3;96.0;100;96.0;A;1;48.65306;-2.00268
2023/01/03 00:00:00;2023/01/03 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19002;Rennes Laennec;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;47.8;47.8;µg-m3;100.0;100;100.0;A;1;48.10861;-1.66586
2023/01/03 00:00:00;2023/01/03 23:59:59;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19007;Rennes Les Halles;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;42.0;41.95;µg-m3;100.0;100;100.0;A;1;48.10751;-1.67984
2023/01/03 00:00:00;2023/01/03 23:59:59;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19012;Brest Mace;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;12.7;12.7;µg-m3;100.0;100;100.0;A;1;48.38618;-4.4866
2023/01/03 00:00:00;2023/01/03 23:59:59;AIR BREIZH;FR53ZAR01;ZAR BREST;FR19014;Brest Desmoulins;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;31.6;31.55;µg-m3;100.0;100;100.0;A;1;48.39746;-4.48871
2023/01/03 00:00:00;2023/01/03 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19020;Kergoff;Rurale nationale;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;9.8;9.805;µg-m3;100.0;100;100.0;A;1;48.261963;-2.943631
2023/01/03 00:00:00;2023/01/03 23:59:59;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19032;Lorient B. Bissonnet;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;5.9;5.85;µg-m3;100.0;100;100.0;A;1;47.7425;-3.39501
