Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34013;Gambetta;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;38.2;38.225;µg-m3;100.0;100;100.0;A;1;47.907083;1.901139
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34014;St Jean;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;8.8;8.775;µg-m3;100.0;100;100.0;A;1;47.917398;1.966258
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34024;Joué lès Tours;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;6.8;6.75;µg-m3;100.0;100;100.0;A;1;47.344139;0.653778
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34025;La Bruyère;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;24.3;24.275;µg-m3;100.0;100;100.0;A;1;47.419083;0.682944
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34028;Pompidou;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;49.5;49.45;µg-m3;100.0;100;100.0;A;1;47.394639;0.704861
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34029;La_Source-CNRS;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;10.2;10.225;µg-m3;100.0;100;100.0;A;1;47.83775;1.944667
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34030;Bourges-Baffier;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;6.8;6.8;µg-m3;100.0;100;100.0;A;1;47.075044;2.407183
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34032;Leblanc;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;10.7;10.7;µg-m3;100.0;100;100.0;A;1;47.082778;2.405333
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34038;Verneuil;Rurale nationale;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.2;2.15;µg-m3;100.0;100;100.0;A;1;46.814694;2.610069
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34043;Oysonville;Rurale régionale;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;3.6;3.6;µg-m3;100.0;100;100.0;A;1;48.391139;1.955611
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34046;Dreux Centre;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;9.0;9.025;µg-m3;100.0;100;100.0;A;1;48.729694;1.358472
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34047;Saint-Remy;Périurbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;30.4;30.35;µg-m3;100.0;100;100.0;A;1;48.760889;1.233639
