Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06001;Valenciennes Acacias;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.8;60.8;µg-m3;100.0;100;100.0;R;1;50.35853;3.50804
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06003;Douai Theuriet;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;59.8;59.75;µg-m3;100.0;100;100.0;R;1;50.37822;3.06586
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR06007;Maubeuge Joyeuse;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;62.2;62.175;µg-m3;100.0;100;100.0;R;1;50.27936;3.97691
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06011;Denain Villars;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;61.8;61.75;µg-m3;100.0;100;100.0;R;1;50.32276;3.39593
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR06133;Cartignies;Rurale près des villes;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;56.4;56.4;µg-m3;100.0;100;100.0;R;1;50.09225;3.85003
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06134;Saint Amand;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.9;58.875;µg-m3;100.0;100;100.0;R;1;50.45647;3.42794
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10017;St Pol mer - cheminots;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.0;77.025;µg-m3;100.0;100;100.0;R;1;51.032761;2.332358
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10025;Sangatte;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.1;71.1;µg-m3;100.0;100;100.0;R;1;50.94989;1.76917
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10026;Calais Parmentier;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.4;79.43333;µg-m3;100.0;100;100.0;R;1;50.9578;1.89008
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10029;Cappelle la Grande;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;82.0;82.0;µg-m3;100.0;100;100.0;R;1;50.99594;2.36627
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR01;ZAR COTE-D-OPALE;FR10032;Outreau;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.6;76.6;µg-m3;100.0;100;100.0;R;1;50.69435;1.57657
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR10132;Campagne les B.;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.3;79.26667;µg-m3;100.0;100;100.0;R;1;50.61048;1.99145
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG02;ZAG LILLE;FR11016;Marcq CTM;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.0;70.96667;µg-m3;100.0;100;100.0;R;1;50.67003;3.07656
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR02;ZAR AMIENS;FR18035;Salouel;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;65.6;65.625;µg-m3;100.0;100;100.0;R;1;49.86889;2.239806
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18039;Arrest;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;73.4;73.43333;µg-m3;100.0;100;100.0;R;1;50.129448;1.610833
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18042;P. Roth St Quentin;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.3;58.3;µg-m3;100.0;100;100.0;R;1;49.851334;3.284
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR03;ZAR CREIL;FR18043;Faiencerie Creil;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.5;58.45;µg-m3;100.0;100;100.0;R;1;49.259552;2.474397
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18045;Roye;Rurale près des villes;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.0;60.0;µg-m3;100.0;100;100.0;R;1;49.696697;2.801139
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR02;ZAR AMIENS;FR18053;St Pierre Amiens;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;64.7;64.65;µg-m3;100.0;100;100.0;R;1;49.901667;2.304597
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZRE01;ZR HAUTS-DE-FRANCE;FR18057;Neuilly-Saint-Front;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;57.7;57.7;µg-m3;100.0;100;100.0;R;1;49.174931;3.260819
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR28010;Harnes Serres;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.0;58.0;µg-m3;100.0;100;100.0;R;1;50.44914;2.9
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAR04;ZAR ARRAS;FR28022;St-Laurent-Blangy;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.4;60.375;µg-m3;100.0;100;100.0;R;1;50.30886;2.807369
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR28033;Noeux-les-Mines;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;72.7;72.7;µg-m3;100.0;100;100.0;R;1;50.48972;2.66642
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO HAUTS DE FRANCE;FR32ZAG01;ZAG BLDV;FR06001;Valenciennes Acacias;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;64.2;64.15;µg-m3;100.0;100;100.0;R;1;50.35853;3.50804
