Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08016;Montpellier Prés d'Arènes;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;84.1;84.05;µg-m3;100.0;100;100.0;R;1;43.5915;3.88681
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08017;Montpellier Périurbaine Sud (Lattes);Périurbaine;O3;Fond;Oui;mesures indicatives;Max. journalier moy. hor.;83.4;83.375;µg-m3;96.0;100;96.0;R;1;43.5705;3.9118
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08018;Montpellier St Gely;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.7;79.675;µg-m3;100.0;100;100.0;A;1;43.6926;3.80021
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR08022;Agathois-piscénois;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;90.8;90.8;µg-m3;100.0;100;100.0;A;1;43.2875;3.50484
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR08023;Biterrois-Narbonnais;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;80.9;80.9;µg-m3;100.0;100;100.0;R;1;43.4068;3.18878
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR08209;Gard Rhodanien2;Rurale près des villes;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;69.0;69.025;µg-m3;100.0;100;100.0;R;1;43.9426;4.67958
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAR02;ZAR NIMES;FR08614;Nimes Gauzy;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.5;71.475;µg-m3;100.0;100;100.0;A;1;43.8344;4.3744
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAR02;ZAR NIMES;FR08617;Nimes La Calmette;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.2;71.175;µg-m3;100.0;100;100.0;R;1;43.9254;4.26581
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAR01;ZAR PERPIGNAN;FR08712;Perpignan St Esteve;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;47.7;47.65;µg-m3;100.0;100;100.0;R;1;42.7198;2.83988
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAR01;ZAR PERPIGNAN;FR08714;Perpignan Les Carmes;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;45.4;45.425;µg-m3;100.0;100;100.0;A;1;42.6955;2.90053
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12004;ECOLE M.JACQUIER;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.7;76.65;µg-m3;100.0;100;100.0;A;1;43.575694;1.418064
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12020;PEYRUSSE;Rurale nationale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;53.9;53.875;µg-m3;100.0;100;100.0;A;1;43.6287;0.179069
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12029;GAUDONVILLE;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;63.4;63.4;µg-m3;100.0;100;100.0;A;1;43.883933;0.845617
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12030;Toulouse Berthelot;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.4;71.425;µg-m3;100.0;100;100.0;A;1;43.587344;1.444003
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12031;BELESTA EN LAURAGAIS;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.1;77.1;µg-m3;100.0;100;100.0;A;1;43.44139;1.821944
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12041;SICOVAL;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;75.7;75.675;µg-m3;100.0;100;100.0;R;1;43.457306;1.571469
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12042;LOURDES LAPACCA;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;84.5;84.525;µg-m3;100.0;100;100.0;A;1;43.096247;-0.040497
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12052;Tarbes lycée Dupuy;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;64.5;64.45;µg-m3;96.0;100;96.0;A;1;43.230297;0.062339
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12053;Stade Travet CASTRES;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;81.2;81.225;µg-m3;100.0;100;100.0;R;1;43.610497;2.23015
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12095;Rodez;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;82.0;82.025;µg-m3;100.0;100;100.0;A;1;44.35699225;2.57070422
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR50060;Montauban;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.9;55.875;µg-m3;100.0;100;100.0;R;1;44.01285657;1.37530522
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08016;Montpellier Prés d'Arènes;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.7;77.65;µg-m3;96.0;100;96.0;R;1;43.5915;3.88681
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08017;Montpellier Périurbaine Sud (Lattes);Périurbaine;O3;Fond;Oui;mesures indicatives;Max. journalier moy. hor.;76.3;76.275;µg-m3;100.0;100;100.0;R;1;43.5705;3.9118
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08018;Montpellier St Gely;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;75.4;75.4;µg-m3;100.0;100;100.0;R;1;43.6926;3.80021
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR08022;Agathois-piscénois;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;90.6;90.625;µg-m3;100.0;100;100.0;A;1;43.2875;3.50484
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR08023;Biterrois-Narbonnais;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;84.7;84.65;µg-m3;96.0;100;96.0;R;1;43.4068;3.18878
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR08209;Gard Rhodanien2;Rurale près des villes;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.4;58.35;µg-m3;100.0;100;100.0;A;1;43.9426;4.67958
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAR02;ZAR NIMES;FR08614;Nimes Gauzy;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;49.1;49.075;µg-m3;96.0;100;96.0;R;1;43.8344;4.3744
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAR02;ZAR NIMES;FR08617;Nimes La Calmette;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;52.7;52.73333;µg-m3;96.0;100;96.0;R;1;43.9254;4.26581
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAR01;ZAR PERPIGNAN;FR08712;Perpignan St Esteve;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;68.0;67.95;µg-m3;100.0;100;100.0;A;1;42.7198;2.83988
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAR01;ZAR PERPIGNAN;FR08714;Perpignan Les Carmes;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;64.2;64.175;µg-m3;88.0;100;88.0;R;1;42.6955;2.90053
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12004;ECOLE M.JACQUIER;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.2;77.2;µg-m3;100.0;100;100.0;A;1;43.575694;1.418064
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12020;PEYRUSSE;Rurale nationale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.4;76.375;µg-m3;100.0;100;100.0;A;1;43.6287;0.179069
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12029;GAUDONVILLE;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.9;67.85;µg-m3;100.0;100;100.0;R;1;43.883933;0.845617
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12030;Toulouse Berthelot;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;73.1;73.05;µg-m3;100.0;100;100.0;A;1;43.587344;1.444003
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12031;BELESTA EN LAURAGAIS;Rurale régionale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.6;79.625;µg-m3;100.0;100;100.0;R;1;43.44139;1.821944
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12041;SICOVAL;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.9;76.85;µg-m3;100.0;100;100.0;A;1;43.457306;1.571469
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12042;LOURDES LAPACCA;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.6;79.56667;µg-m3;100.0;100;100.0;R;1;43.096247;-0.040497
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12052;Tarbes lycée Dupuy;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.4;74.425;µg-m3;100.0;100;100.0;A;1;43.230297;0.062339
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12053;Stade Travet CASTRES;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;85.4;85.425;µg-m3;100.0;100;100.0;A;1;43.610497;2.23015
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12095;Rodez;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;83.7;83.65;µg-m3;100.0;100;100.0;A;1;44.35699225;2.57070422
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR50060;Montauban;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.1;67.05;µg-m3;100.0;100;100.0;R;1;44.01285657;1.37530522
