Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09003;place de VERDUN;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;25.0;24.5708333333;µg-m3;100.0;100;100.0;A;1;46.162647;-1.153684
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09008;Aytré;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;22.0;22.0833333333;µg-m3;100.0;100;100.0;A;1;46.135134;-1.117086
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09015;Les Couronneries;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.0;µg-m3;100.0;100;100.0;A;1;46.586958;0.358458
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09103;Square Pablo Casals;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;15.2291666667;µg-m3;100.0;100;100.0;A;1;45.647428;0.167162
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09106;ANGOULEME-GAMBETTA;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;16.0;16.425;µg-m3;100.0;100;100.0;A;1;45.651464;0.162391
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09203;La Pallice3 LR;Urbaine;PM10;Industrielle;Oui;mesures fixes;Moy. journalière;24.0;24.3958333333;µg-m3;100.0;100;100.0;A;1;46.161632;-1.211229
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09302;Zoodyssée Chizé;Rurale régionale;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.4291666667;µg-m3;100.0;100;100.0;A;1;46.143234;-0.395913
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09303;Niort Venise;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;16.0;16.2166666667;µg-m3;100.0;100;100.0;A;1;46.320028;-0.482861
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09304;AIRVAULT 3;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;20.0;19.9416666667;µg-m3;100.0;100;100.0;A;1;46.823796;-0.135634
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09305;Niort - Tassigny;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;19.0;19.1541666667;µg-m3;100.0;100;100.0;A;1;46.333881;-0.471878
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09403;Poitiers-Le Nain;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;18.0;17.9791666667;µg-m3;100.0;100;100.0;A;1;46.591231;0.34039
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09404;Poitiers Centre  Augouard;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.9541666667;µg-m3;100.0;100;100.0;A;1;46.583998;0.345582
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31001;GRAND PARC;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.4583333333;µg-m3;100.0;100;100.0;A;1;44.86121;-0.58037
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31003;BORDEAUX-BASTIDE;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;17.0;17.1166666667;µg-m3;100.0;100;100.0;A;1;44.849647;-0.544995
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31006;MERIGNAC;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;13.0;13.4208333333;µg-m3;100.0;100;100.0;A;1;44.841373;-0.651068
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31007;BASSENS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;16.7791666667;µg-m3;100.0;100;100.0;A;1;44.900296;-0.515835
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31013;BILLERE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.2625;µg-m3;100.0;100;100.0;A;1;43.310797;-0.391543
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG02;ZAG BAYONNE;FR31016;SAINT-CROUTS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;11.0;10.7708333333;µg-m3;100.0;100;100.0;A;1;43.47982;-1.489157
