nom site,indicator,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
BREST Plouzané,0.0814606741573033,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,81.9,81.85,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055
Brest Desmoulins,0.0609418282548476,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19014,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,31.0,30.675,µg-m3,100.0,100,100.0,A,1,48.39746,-4.48871
Brest Mace,0.0994318181818181,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19012,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.6,83.625,µg-m3,100.0,100,100.0,A,1,48.38618,-4.4866
Kergoff,0.1274787535410765,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19020,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.4,75.375,µg-m3,100.0,100,100.0,A,1,48.261963,-2.943631
Lorient B. Bissonnet,0.1487603305785124,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19032,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.1,83.1,µg-m3,100.0,100,100.0,A,1,47.7425,-3.39501
Lorient Normandie,0.0602739726027397,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19037,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,16.0,16.1416666667,µg-m3,100.0,100,100.0,A,1,47.758947,-3.36938
MORDELLES BELLAIS,0.0527777777777777,AIR BREIZH,FR53ZAG01,ZAG RENNES,FR19018,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.5,68.475,µg-m3,100.0,100,100.0,A,1,48.082883,-1.834583
Quimper Zola,0.0994475138121546,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19053,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,80.1,80.125,µg-m3,100.0,100,100.0,A,1,47.986606,-4.097658
Rennes Laennec,0.0743801652892562,AIR BREIZH,FR53ZAG01,ZAG RENNES,FR19002,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,14.0,13.5166666667,µg-m3,100.0,100,100.0,A,1,48.10861,-1.66586
Rennes Les Halles,0.0201149425287356,AIR BREIZH,FR53ZAG01,ZAG RENNES,FR19007,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,25.9,25.85,µg-m3,100.0,100,100.0,A,1,48.10751,-1.67984
Rennes Thabor,0.1561643835616438,AIR BREIZH,FR53ZAG01,ZAG RENNES,FR19039,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.5,78.5,µg-m3,100.0,100,100.0,A,1,48.11521,-1.673088
