nom site,SOMO35 Subscore_x,Organisme,code zas,Zas,code site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude
BREST Plouzané,4879.3,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,81.9,81.85,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055
Brest Mace,4484.3,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19012,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.6,83.625,µg-m3,100.0,100,100.0,A,1,48.38618,-4.4866
Kergoff,3522.8,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19020,Rurale nationale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.4,75.375,µg-m3,100.0,100,100.0,A,1,48.261963,-2.943631
Lorient B. Bissonnet,5152.1,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19032,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.1,83.1,µg-m3,100.0,100,100.0,A,1,47.7425,-3.39501
MORDELLES BELLAIS,2961.4,AIR BREIZH,FR53ZAG01,ZAG RENNES,FR19018,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,68.5,68.475,µg-m3,100.0,100,100.0,A,1,48.082883,-1.834583
Quimper Zola,4951.5,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19053,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,80.1,80.125,µg-m3,100.0,100,100.0,A,1,47.986606,-4.097658
Rennes Thabor,4249.2,AIR BREIZH,FR53ZAG01,ZAG RENNES,FR19039,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.5,78.5,µg-m3,100.0,100,100.0,A,1,48.11521,-1.673088
Saint Brieuc Balzac,2482.2,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19061,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,74.2,74.2,µg-m3,100.0,100,100.0,A,1,48.51351,-2.74953
StMalo Rocabey,3921.3,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19082,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.2,83.2,µg-m3,100.0,100,100.0,A,1,48.65306,-2.00268
Vannes UTA,4854.3,AIR BREIZH,FR53ZRE01,ZR BRETAGNE,FR19033,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.9,78.85,µg-m3,100.0,100,100.0,R,1,47.64892,-2.76399
