code_commune_INSEE;n;quintile;geometry
75101;1430;[869.4,1631);
75102;1701;[1631,1.069e+05];
75103;1539;[869.4,1631);
75104;2024;[1631,1.069e+05];
75105;1819;[1631,1.069e+05];
75106;1854;[1631,1.069e+05];
75107;1655;[1631,1.069e+05];
75108;2732;[1631,1.069e+05];
75109;1899;[1631,1.069e+05];
75110;1605;[869.4,1631);
75111;1913;[1631,1.069e+05];
75112;3217;[1631,1.069e+05];
75113;2564;[1631,1.069e+05];
75114;2604;[1631,1.069e+05];
75115;2178;[1631,1.069e+05];
75116;3632;[1631,1.069e+05];
75117;3539;[1631,1.069e+05];
75118;2961;[1631,1.069e+05];
75119;2756;[1631,1.069e+05];
75120;2294;[1631,1.069e+05];
77001;120;[90,132.9);
77002;21;[1,54);
77003;166;[132.9,174.2);
77004;100;[90,132.9);
77005;349;[240,351.8);
77006;321;[240,351.8);
77007;126;[90,132.9);
77008;92;[90,132.9);
77009;38;[1,54);
77010;78;[54,90);
77011;9;[1,54);
77012;14;[1,54);
77013;185;[174.2,240);
77014;318;[240,351.8);
77015;18;[1,54);
77016;183;[174.2,240);
77018;464;[351.8,527.3);
77019;62;[54,90);
77020;44;[1,54);
77021;151;[132.9,174.2);
77022;292;[240,351.8);
77023;289;[240,351.8);
77024;128;[90,132.9);
77025;76;[54,90);
77026;12;[1,54);
77027;45;[1,54);
77028;108;[90,132.9);
77029;135;[132.9,174.2);
77030;71;[54,90);
77031;76;[54,90);
77032;40;[1,54);
77033;18;[1,54);
77034;173;[132.9,174.2);
77035;40;[1,54);
77036;9;[1,54);
77037;245;[240,351.8);
77038;359;[351.8,527.3);
77039;276;[240,351.8);
77040;361;[351.8,527.3);
77041;120;[90,132.9);
77042;135;[132.9,174.2);
77043;17;[1,54);
77044;77;[54,90);
77045;57;[54,90);
77046;110;[90,132.9);
77047;300;[240,351.8);
77048;283;[240,351.8);
77049;351;[240,351.8);
77050;73;[54,90);
77051;75;[54,90);
77052;64;[54,90);
77053;358;[351.8,527.3);
77054;90;[90,132.9);
77055;352;[351.8,527.3);
77056;71;[54,90);
77057;166;[132.9,174.2);
77058;807;[527.3,869.4);
77059;728;[527.3,869.4);
77060;84;[54,90);
77061;156;[132.9,174.2);
77062;191;[174.2,240);
77063;165;[132.9,174.2);
77065;321;[240,351.8);
77066;16;[1,54);
77067;636;[527.3,869.4);
77068;28;[1,54);
77069;413;[351.8,527.3);
77070;138;[132.9,174.2);
77071;35;[1,54);
77072;21;[1,54);
77073;117;[90,132.9);
77075;426;[351.8,527.3);
77076;35;[1,54);
77077;319;[240,351.8);
77078;108;[90,132.9);
77079;191;[174.2,240);
77080;32;[1,54);
77081;167;[132.9,174.2);
77082;54;[54,90);
77083;1704;[1631,1.069e+05];
77084;140;[132.9,174.2);
77085;641;[527.3,869.4);
77086;4;[1,54);
77087;38;[1,54);
77088;133;[132.9,174.2);
77089;62;[54,90);
77090;83;[54,90);
77091;168;[132.9,174.2);
77093;34;[1,54);
77094;407;[351.8,527.3);
77095;152;[132.9,174.2);
77096;193;[174.2,240);
77097;63;[54,90);
77098;27;[1,54);
77099;94;[90,132.9);
77100;126;[90,132.9);
77101;70;[54,90);
77102;133;[132.9,174.2);
77103;58;[54,90);
77104;181;[174.2,240);
77106;103;[90,132.9);
77107;180;[174.2,240);
77108;879;[869.4,1631);
77109;99;[90,132.9);
77110;53;[1,54);
77111;146;[132.9,174.2);
77112;153;[132.9,174.2);
77113;47;[1,54);
77114;156;[132.9,174.2);
77115;33;[1,54);
77116;70;[54,90);
77117;20;[1,54);
77118;456;[351.8,527.3);
77119;50;[1,54);
77120;125;[90,132.9);
77121;1254;[869.4,1631);
77122;379;[351.8,527.3);
77123;384;[351.8,527.3);
77124;687;[527.3,869.4);
77125;322;[240,351.8);
77126;121;[90,132.9);
77127;152;[132.9,174.2);
77128;544;[527.3,869.4);
77129;34;[1,54);
77130;244;[240,351.8);
77131;158;[132.9,174.2);
77132;124;[90,132.9);
77133;85;[54,90);
77134;71;[54,90);
77135;92;[90,132.9);
77136;102;[90,132.9);
77137;22;[1,54);
77138;116;[90,132.9);
77139;1134;[869.4,1631);
77140;42;[1,54);
77141;588;[527.3,869.4);
77142;297;[240,351.8);
77143;357;[351.8,527.3);
77144;76;[54,90);
77145;227;[174.2,240);
77146;1;[1,54);
77147;51;[1,54);
77148;52;[1,54);
77149;44;[1,54);
77150;88;[54,90);
77151;47;[1,54);
77152;381;[351.8,527.3);
77153;250;[240,351.8);
77154;2;[1,54);
77155;108;[90,132.9);
77156;204;[174.2,240);
77157;94;[90,132.9);
77158;84;[54,90);
77159;40;[1,54);
77161;48;[1,54);
77162;77;[54,90);
77163;57;[54,90);
77164;14;[1,54);
77165;119;[90,132.9);
77167;22;[1,54);
77168;37;[1,54);
77169;1188;[869.4,1631);
77171;579;[527.3,869.4);
77172;120;[90,132.9);
77173;142;[132.9,174.2);
77174;51;[1,54);
77175;254;[240,351.8);
77176;157;[132.9,174.2);
77177;244;[240,351.8);
77178;56;[54,90);
77179;123;[90,132.9);
77180;190;[174.2,240);
