code_commune_INSEE,n,pourcentage_equip
75101,25,89
75102,26,93
75103,27,96
75104,27,96
75105,27,96
75106,26,93
75107,26,93
75108,25,89
75109,26,93
75110,26,93
75111,27,96
75112,28,100
75113,28,100
75114,28,100
75115,28,100
75116,26,93
75117,28,100
75118,28,100
75119,28,100
75120,28,100
77001,23,82
77002,8,29
77003,9,32
77004,15,54
77005,26,93
77006,13,46
77007,23,82
77008,18,64
77009,8,29
77010,9,32
77011,5,18
77012,4,14
77013,26,93
77014,26,93
77015,1,4
77016,23,82
77018,28,100
77019,14,50
77020,13,46
77021,24,86
77022,27,96
77023,21,75
77024,12,43
77025,28,100
77027,21,75
77028,14,50
77029,21,75
77030,14,50
77031,9,32
77032,18,64
77033,3,11
77034,16,57
77035,14,50
77037,27,96
77038,25,89
77039,11,39
77040,28,100
77041,1,4
77042,28,100
77043,4,14
77044,25,89
77045,6,21
77046,12,43
77047,27,96
77048,28,100
77049,17,61
77050,7,25
77051,27,96
77052,21,75
77053,28,100
77054,12,43
77055,27,96
77056,7,25
77057,18,64
77058,27,96
77059,20,71
77060,12,43
77061,24,86
77062,12,43
77063,28,100
77065,27,96
77066,3,11
77067,28,100
77068,11,39
77069,27,96
77070,11,39
77071,1,4
77072,9,32
77073,23,82
77075,28,100
77076,4,14
77077,23,82
77078,12,43
77079,16,57
77080,3,11
77081,12,43
77082,19,68
77083,28,100
77084,23,82
77085,28,100
77087,18,64
77088,26,93
77089,12,43
77090,12,43
77091,19,68
77093,4,14
77094,25,89
77095,23,82
77096,21,75
77097,20,71
77098,9,32
77099,26,93
77100,27,96
77101,20,71
77102,14,50
77104,10,36
77106,10,36
77107,27,96
77108,28,100
77109,21,75
77110,5,18
77111,12,43
77112,7,25
77113,23,82
77115,8,29
77116,19,68
77117,3,11
77118,28,100
77119,9,32
77120,10,36
77121,28,100
77122,26,93
77123,24,86
77124,28,100
77125,26,93
77126,17,61
77127,24,86
77128,28,100
77129,9,32
77130,16,57
77131,28,100
77132,1,4
77133,13,46
77134,5,18
77135,18,64
77136,3,11
77137,4,14
77138,16,57
77139,28,100
77140,5,18
77141,28,100
77142,27,96
77143,28,100
77144,17,61
77145,19,68
77147,13,46
77148,25,89
77149,3,11
77150,14,50
77151,13,46
77152,27,96
77153,28,100
77155,23,82
77156,28,100
77157,22,79
77158,24,86
77159,28,100
77161,17,61
77162,13,46
77163,5,18
77164,6,21
77165,21,75
77168,23,82
77169,28,100
77171,28,100
77172,13,46
77173,16,57
77174,16,57
77175,22,79
77176,24,86
77177,12,43
77178,4,14
77179,13,46
77180,2,7
77181,28,100
77182,28,100
77183,28,100
77184,19,68
77185,8,29
77186,20,71
77187,12,43
77188,12,43
77190,9,32
77192,27,96
77193,21,75
77194,14,50
77195,23,82
77196,16,57
77197,17,61
77198,14,50
77199,19,68
77200,1,4
77201,15,54
77202,11,39
77203,15,54
77204,5,18
77205,28,100
77208,25,89
77209,28,100
77210,21,75
77211,12,43
77212,9,32
77214,27,96
77215,28,100
77217,22,79
77218,6,21
77219,17,61
77220,8,29
77221,28,100
77222,26,93
77223,23,82
77224,10,36
77225,16,57
77226,27,96
77227,12,43
77228,6,21
77229,20,71
77230,2,7
77231,26,93
77232,6,21
77233,15,54
77234,14,50
77235,15,54
77236,27,96
77237,25,89
77238,4,14
77239,21,75
77240,22,79
77241,19,68
77242,22,79
77243,28,100
77244,11,39
77246,8,29
77247,13,46
77248,13,46
77249,27,96
77250,10,36
77251,28,100
77252,14,50
77253,8,29
77254,13,46
77255,26,93
77256,9,32
77257,25,89
77258,28,100
77259,24,86
77260,25,89
77261,18,64
77262,4,14
77263,7,25
77264,18,64
77265,26,93
77266,12,43
77267,14,50
77268,28,100
77269,23,82
77270,15,54
77271,8,29
77272,18,64
77273,7,25
77274,12,43
77275,2,7
77276,23,82
77277,21,75
77278,7,25
77279,24,86
77280,25,89
77281,22,79
77282,23,82
77283,12,43
77284,28,100
77285,28,100
77286,2,7
77287,2,7
77288,28,100
77289,9,32
77290,25,89
77291,21,75
77292,28,100
77293,21,75
77294,27,96
77295,21,75
77296,28,100
77298,25,89
77300,17,61
77301,14,50
77302,13,46
77304,2,7
77305,28,100
77306,17,61
77307,28,100
77308,16,57
77309,26,93
77310,8,29
77311,23,82
77312,28,100
77313,6,21
77314,8,29
77315,28,100
77316,26,93
77317,20,71
77318,21,75
77319,3,11
77320,26,93
77321,28,100
77322,25,89
77323,26,93
77325,27,96
77326,25,89
77327,27,96
77329,14,50
77330,28,100
77331,24,86
77332,23,82
77335,26,93
77336,14,50
77337,28,100
77338,11,39
77339,16,57
77340,9,32
77341,7,25
77342,9,32
77343,21,75
77344,28,100
77345,19,68
77347,17,61
77348,26,93
77349,27,96
77350,27,96
77352,19,68
77353,11,39
77354,20,71
77355,2,7
77356,3,11
77357,13,46
77358,26,93
77359,25,89
77360,22,79
77361,11,39
77363,28,100
77364,16,57
77365,17,61
77366,16,57
77367,13,46
77368,28,100
77369,13,46
77370,4,14
77371,27,96
77372,2,7
77373,28,100
77374,28,100
77376,20,71
77377,27,96
77378,28,100
77379,28,100
77380,6,21
77381,9,32
77382,27,96
77383,4,14
77384,22,79
77385,23,82
77386,18,64
77387,14,50
77388,24,86
77389,28,100
77390,28,100
77391,7,25
77392,16,57
77393,27,96
77394,28,100
77395,12,43
77396,2,7
77398,14,50
77399,1,4
77400,21,75
77401,6,21
77402,5,18
77403,10,36
77404,27,96
77405,19,68
77406,23,82
77407,28,100
77408,13,46
77409,27,96
77410,16,57
77411,15,54
77412,25,89
77413,27,96
77414,7,25
77415,20,71
77416,8,29
77417,2,7
77418,7,25
77419,26,93
77420,28,100
77421,2,7
77423,2,7
77424,2,7
77425,25,89
77427,11,39
77429,23,82
77430,28,100
77431,10,36
77432,25,89
77433,20,71
77434,6,21
77435,17,61
77437,28,100
77438,28,100
77439,16,57
77440,21,75
77441,23,82
77442,21,75
77443,9,32
77444,3,11
77445,27,96
77446,21,75
77447,28,100
77448,28,100
77449,28,100
77450,28,100
77451,16,57
77452,9,32
77453,26,93
77454,10,36
77455,25,89
77456,17,61
77457,27,96
77458,17,61
77459,21,75
77460,1,4
77461,17,61
77462,15,54
77463,28,100
77464,26,93
77465,26,93
77466,11,39
77467,17,61
77468,28,100
77469,20,71
77470,28,100
77471,7,25
77472,9,32
77473,15,54
77474,20,71
77475,27,96
77476,16,57
77477,27,96
77478,26,93
77479,28,100
77480,22,79
77481,4,14
77482,28,100
77483,24,86
77484,12,43
77485,19,68
77486,11,39
77487,27,96
77489,23,82
77490,8,29
77491,27,96
77492,25,89
77493,27,96
77494,22,79
77495,28,100
77496,1,4
77498,13,46
77500,5,18
77501,23,82
77504,15,54
77505,12,43
77506,19,68
77507,13,46
77508,26,93
77509,8,29
77510,26,93
77511,20,71
77512,17,61
77513,28,100
77514,28,100
77515,25,89
77516,21,75
77517,15,54
77518,22,79
77519,22,79
77520,8,29
77521,7,25
77522,9,32
77523,14,50
77524,6,21
77526,16,57
77528,27,96
77529,22,79
77530,2,7
77531,25,89
77532,1,4
77533,28,100
77534,26,93
78003,23,82
78005,28,100
78006,8,29
78007,26,93
78009,7,25
78010,22,79
78013,16,57
78015,28,100
78020,17,61
78029,28,100
78030,1,4
78031,26,93
78033,28,100
78034,22,79
78036,14,50
78043,27,96
78048,21,75
78049,27,96
78050,21,75
78053,27,96
78057,22,79
78062,27,96
78068,14,50
78070,25,89
78071,15,54
78072,18,64
78073,28,100
78076,19,68
78077,14,50
78082,7,25
78084,24,86
78087,27,96
78089,23,82
78090,28,100
78092,28,100
78096,26,93
78104,26,93
78107,25,89
78108,14,50
78113,25,89
78117,27,96
78118,28,100
78120,23,82
78123,28,100
78124,27,96
78125,12,43
78126,28,100
78128,24,86
78133,7,25
78138,28,100
78140,27,96
78143,28,100
78146,28,100
78147,16,57
78152,11,39
78158,28,100
78160,28,100
78162,11,39
78163,20,71
78164,15,54
78165,28,100
78168,26,93
78171,18,64
78172,28,100
78185,27,96
78188,11,39
78189,24,86
78190,28,100
78192,26,93
78193,20,71
78194,28,100
78196,20,71
78202,22,79
78206,28,100
78208,28,100
78209,14,50
78217,28,100
78220,28,100
78224,24,86
78227,28,100
78230,24,86
78231,22,79
78233,25,89
78234,26,93
78236,25,89
78237,13,46
78238,28,100
78239,22,79
78242,28,100
78245,19,68
78246,21,75
78251,10,36
78255,27,96
78261,28,100
78262,28,100
78263,24,86
78264,2,7
78265,27,96
78267,28,100
78269,16,57
78276,22,79
78278,27,96
78281,18,64
78283,23,82
78285,21,75
78289,23,82
78290,13,46
78291,25,89
78296,23,82
78297,28,100
78299,28,100
78300,10,36
78302,5,18
78305,26,93
78307,17,61
78310,28,100
78311,27,96
78314,28,100
78317,26,93
78320,6,21
78321,26,93
78322,24,86
78324,22,79
78325,16,57
78327,27,96
78329,20,71
78334,2,7
78335,28,100
78337,21,75
78343,26,93
78344,11,39
78346,27,96
78349,16,57
78350,27,96
78354,28,100
78356,24,86
78358,27,96
78361,27,96
78362,28,100
78364,27,96
78366,27,96
78367,28,100
78368,25,89
78372,28,100
78380,26,93
78381,28,100
78382,22,79
78383,28,100
78384,28,100
78385,9,32
78389,28,100
78391,27,96
78396,16,57
78397,28,100
78398,17,61
78401,28,100
78402,27,96
78403,19,68
78406,22,79
78407,19,68
78410,4,14
78413,24,86
78415,15,54
78416,20,71
78417,25,89
78418,15,54
78420,28,100
78423,28,100
78431,28,100
78437,14,50
78439,27,96
78440,28,100
78442,28,100
78443,26,93
78444,21,75
78451,28,100
78455,27,96
78460,26,93
78464,4,14
78465,28,100
78466,28,100
78470,10,36
78472,20,71
78474,25,89
78475,27,96
78478,10,36
78481,28,100
78484,3,11
78486,27,96
78490,28,100
78497,11,39
78498,28,100
78499,15,54
78501,28,100
78502,28,100
78503,17,61
78505,28,100
78506,26,93
78513,28,100
78516,15,54
78517,26,93
78518,26,93
78520,25,89
78524,28,100
78528,15,54
78530,26,93
78536,22,79
78537,28,100
78545,28,100
78548,20,71
78550,28,100
78551,21,75
78557,12,43
78558,22,79
78559,14,50
78561,17,61
78562,16,57
78564,10,36
78565,27,96
78567,18,64
78569,17,61
78571,27,96
78575,28,100
78576,19,68
78586,28,100
78588,23,82
78590,26,93
78591,27,96
78597,10,36
78601,22,79
78605,28,100
78606,15,54
78608,4,14
78609,28,100
78615,28,100
78616,27,96
78618,19,68
78620,23,82
78621,28,100
78623,26,93
78624,28,100
78638,27,96
78640,28,100
78642,28,100
78643,28,100
78644,28,100
78646,28,100
78647,19,68
78650,28,100
78653,2,7
78655,16,57
78668,12,43
78672,28,100
78674,27,96
78677,15,54
78681,27,96
78683,28,100
78686,27,96
78688,28,100
91016,27,96
91017,24,86
91021,28,100
91022,1,4
91027,28,100
91035,18,64
91037,23,82
91038,10,36
91041,28,100
91044,28,100
91045,28,100
91047,4,14
91064,27,96
91067,3,11
91069,6,21
91075,9,32
91079,14,50
91080,26,93
91081,12,43
91085,28,100
91086,27,96
91093,22,79
91095,26,93
91097,28,100
91098,7,25
91099,21,75
91100,12,43
91103,28,100
91105,28,100
91106,27,96
91109,15,54
91111,28,100
91112,5,18
91114,28,100
91115,25,89
91121,6,21
91122,28,100
91130,15,54
91131,13,46
91132,15,54
91135,26,93
91136,27,96
91137,6,21
91145,1,4
91148,26,93
91156,20,71
91159,28,100
91161,28,100
91174,28,100
91175,23,82
91179,3,11
91182,28,100
91184,27,96
91186,26,93
91191,28,100
91195,7,25
91198,28,100
91200,21,75
91201,28,100
91204,24,86
91207,28,100
91215,28,100
91216,28,100
91222,17,61
91225,22,79
91226,28,100
91228,28,100
91232,27,96
91235,28,100
91240,19,68
91243,17,61
91244,28,100
