Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;45.6;45.6;µg-m3;100.0;100;100.0;A;1;48.930319;2.29435
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;45.9;45.925;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04012;Place Victor Basch;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;60.8;60.8;µg-m3;100.0;100;100.0;A;1;48.827778;2.3275
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04014;PARIS 12eme;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;44.1;44.1;µg-m3;100.0;100;100.0;A;1;48.837223;2.3939
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04017;NEUILLY-SUR-SEINE;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;45.4;45.425;µg-m3;100.0;100;100.0;R;1;48.88139;2.278056
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04018;AUBERVILLIERS;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;37.6;37.55;µg-m3;100.0;100;100.0;A;1;48.9039;2.3847
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04024;GONESSE;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.3;42.3;µg-m3;100.0;100;100.0;R;1;48.99083;2.444722
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;3.2;3.2;µg-m3;42.0;100;42.0;N;-1;48.799168;2.130556
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;44.8;44.8;µg-m3;100.0;100;100.0;R;1;48.868772;2.311231
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.0;38.025;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
