Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05078;Le Havre Massillon;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;24.3;24.3;µg-m3;100.0;100;100.0;R;1;49.4983;0.142706
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;16.4;16.425;µg-m3;100.0;100;100.0;R;1;49.50273;0.232486
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;NO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;39.0;39.025;µg-m3;100.0;100;100.0;R;1;49.493332;0.571853
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05089;Le Havre Lafaurie-montant;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;25.6;25.625;µg-m3;100.0;100;100.0;R;1;49.500187;0.110903
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.6;21.625;µg-m3;100.0;100;100.0;R;1;49.514686;0.100645
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21001;Caen Chemin-Vert;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;14.5;14.475;µg-m3;100.0;100;100.0;R;1;49.19222;-0.391111
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21016;Caen Vaucelles;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;27.5;27.475;µg-m3;100.0;100;100.0;A;1;49.175278;-0.353611
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21019;IFS Caen sud;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;14.7;14.65;µg-m3;100.0;100;100.0;R;1;49.15167;-0.352778
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21021;Lisieux;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;13.3;13.25;µg-m3;100.0;100;100.0;R;1;49.147224;0.227222
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21031;Alençon Météo-France;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;12.0;11.95;µg-m3;100.0;100;100.0;R;1;48.445553;0.110833
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21038;Cherbourg Hotel de Ville;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;27.5;27.475;µg-m3;100.0;100;100.0;R;1;49.64225;-1.624361
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR21040;Saint-Lô Eglise;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;14.4;14.4;µg-m3;100.0;100;100.0;R;1;49.11639;-1.084722
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;19.9;19.85;µg-m3;100.0;100;100.0;R;1;49.442358;1.093789
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25043;Centre Hospitalier;Urbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.8;11.825;µg-m3;100.0;100;100.0;R;1;49.4005;1.099042
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25051;Dieppe prox-auto;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;30.1;30.125;µg-m3;100.0;100;100.0;R;1;49.918007;1.073972
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25053;Rouen Proxi Quai de Paris;Urbaine;NO2;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;44.9;44.85;µg-m3;100.0;100;100.0;R;1;49.436699;1.098838
