Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26005;Dijon Péjoces;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;21.0;21.1708333333;µg-m3;100.0;100;100.0;A;1;47.307368;5.065881
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26012;Morvan;Rurale nationale;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.5083333333;µg-m3;100.0;100;100.0;A;1;47.274762;4.099476
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26014;Dijon Trémouille;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.0208333333;µg-m3;100.0;100;100.0;A;1;47.325744;5.041056
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26017;Nevers;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.7083333333;µg-m3;100.0;100;100.0;A;1;46.996828;3.171092
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26019;Auxerre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.225;µg-m3;100.0;100;100.0;A;1;47.800575;3.576189
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26094;Dijon Ardennes;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;19.0;19.2125;µg-m3;100.0;100;100.0;A;1;47.351367;5.070706
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR04;ZAR CHALON;FR32001;Chalon Centre Ville;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;21.0;21.4833333333;µg-m3;100.0;100;100.0;A;1;46.782311;4.847322
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR04;ZAR CHALON;FR32002;Champforgueil;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.4125;µg-m3;100.0;100;100.0;A;1;46.821056;4.835083
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR32005;Montceau-les-Mines 9me écluse;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.4333333333;µg-m3;100.0;100;100.0;A;1;46.678785;4.366893
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR03;ZAR BESANCON;FR82006;Besancon Prevoyance;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.375;µg-m3;100.0;100;100.0;A;1;47.2474;6.015419
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR01;ZAR BELFORT-MONTBELIARD;FR82010;Montbéliard centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;21.0;20.65;µg-m3;100.0;100;100.0;R;1;47.510307;6.794
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR01;ZAR BELFORT-MONTBELIARD;FR82020;Belfort Octroi;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;19.0;19.2791666667;µg-m3;100.0;100;100.0;A;1;47.640667;6.859278
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82030;Montandon Baresans;Rurale nationale;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.6458333333;µg-m3;100.0;100;100.0;A;1;47.29464;6.825861
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82040;Dole centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;19.0;18.7541666667;µg-m3;100.0;100;100.0;A;1;47.09672;5.496389
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82043;Chatenois;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. journalière;16.0;16.4375;µg-m3;100.0;100;100.0;A;1;47.14725;5.556117
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82050;Lons-le-Saunier CV;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;0.0;100;0.0;N;-1;46.671321;5.55662
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82060;Vesoul Pres Caillet;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;15.0583333333;µg-m3;100.0;100;100.0;A;1;47.620022;6.157642
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82070;Baume-les-Dames;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;15.0;14.9875;µg-m3;100.0;100;100.0;A;1;47.351288;6.359722
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26005;Dijon Péjoces;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;23.0;22.7208333333;µg-m3;100.0;100;100.0;A;1;47.307368;5.065881
