Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08016;Montpellier Prés d'Arènes;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;26.0;25.7666666667;µg-m3;100.0;100;100.0;A;1;43.5915;3.88681
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR08020;Lunel Viel;Périurbaine;PM10;Industrielle;Oui;mesures indicatives;Moy. journalière;26.0;26.4958333333;µg-m3;100.0;100;100.0;A;1;43.6758;4.08838
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG02;ZAG MONTPELLIER;FR08030;Pompignane;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;35.0;34.6208333333;µg/m3;100.0;100;100.0;A;1;43.6096;3.89878
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAR02;ZAR NIMES;FR08614;Nimes Gauzy;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;23.0;23.3875;µg-m3;100.0;100;100.0;A;1;43.8344;4.3744
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAR02;ZAR NIMES;FR08616;Nimes Planas;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;31.0;30.5041666667;µg-m3;100.0;100;100.0;A;1;43.8299;4.36199
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAR01;ZAR PERPIGNAN;FR08714;Perpignan Les Carmes;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;28.0;28.2916666667;µg-m3;100.0;100;100.0;A;1;42.6955;2.90053
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12004;ECOLE M.JACQUIER;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;22.0;22.2166666667;µg/m3;100.0;100;100.0;A;1;43.575694;1.418064
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12020;PEYRUSSE;Rurale nationale;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.925;µg/m3;100.0;100;100.0;A;1;43.6287;0.179069
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZAG01;ZAG TOULOUSE;FR12021;Toulouse Mazades;Urbaine;PM10;Fond;Oui;mesures indicatives;Moy. journalière;19.0;19.2458333333;µg-m3;100.0;100;100.0;A;1;43.623606;1.438531
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO OCCITANIE;FR76ZRE01;ZR OCCITANIE;FR12026;ALBI DELMAS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;18.0;18.2583333333;µg-m3;100.0;100;100.0;A;1;43.927769;2.145897
