Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34013;Gambetta;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;16.0;16.3625;µg-m3;100.0;100;100.0;A;1;47.907083;1.901139
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34014;St Jean;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;18.0;17.6916666667;µg-m3;100.0;100;100.0;A;1;47.917398;1.966258
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34024;Joué lès Tours;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.6;µg-m3;100.0;100;100.0;A;1;47.344139;0.653778
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34028;Pompidou;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;20.0;19.8666666667;µg-m3;100.0;100;100.0;A;1;47.394639;0.704861
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34029;La_Source-CNRS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.4125;µg-m3;100.0;100;100.0;A;1;47.83775;1.944667
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34030;Bourges-Baffier;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;13.0;12.5625;µg-m3;100.0;100;100.0;A;1;47.075044;2.407183
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34032;Leblanc;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;13.3208333333;µg-m3;100.0;100;100.0;A;1;47.082778;2.405333
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34041;Fulbert;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;16.0;16.1375;µg-m3;100.0;100;100.0;A;1;48.444417;1.510139
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34046;Dreux Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.2125;µg-m3;100.0;100;100.0;A;1;48.729694;1.358472
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34047;Saint-Remy;Périurbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;19.0;18.8083333333;µg-m3;100.0;100;100.0;A;1;48.760889;1.233639
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34051;Chateauroux Sud;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.6333333333;µg-m3;100.0;100;100.0;A;1;46.798278;1.693139
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZAR02;ZAR BLOIS;FR34061;Blois nord;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.6625;µg-m3;100.0;100;100.0;A;1;47.594256;1.302667
2023/01/01 00:00:00;2023/01/01 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34065;Montargis Fond;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.9916666667;µg-m3;100.0;100;100.0;A;1;47.996994;2.731511
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34013;Gambetta;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;10.0;10.1727272727;µg-m3;92.0;100;92.0;A;1;47.907083;1.901139
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34014;St Jean;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;9.6291666667;µg-m3;100.0;100;100.0;A;1;47.917398;1.966258
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34024;Joué lès Tours;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;6.0;6.4541666667;µg-m3;100.0;100;100.0;A;1;47.344139;0.653778
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34028;Pompidou;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;14.0;13.8041666667;µg-m3;100.0;100;100.0;A;1;47.394639;0.704861
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34029;La_Source-CNRS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;6.0;5.6666666667;µg-m3;100.0;100;100.0;A;1;47.83775;1.944667
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34030;Bourges-Baffier;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;10.0;10.4416666667;µg-m3;100.0;100;100.0;A;1;47.075044;2.407183
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34032;Leblanc;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;10.4416666667;µg-m3;100.0;100;100.0;A;1;47.082778;2.405333
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34041;Fulbert;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;7.0;7.1;µg-m3;100.0;100;100.0;R;1;48.444417;1.510139
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34046;Dreux Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.5583333333;µg-m3;100.0;100;100.0;A;1;48.729694;1.358472
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34047;Saint-Remy;Périurbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;10.0;10.275;µg-m3;100.0;100;100.0;A;1;48.760889;1.233639
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34051;Chateauroux Sud;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;9.0;8.6208333333;µg-m3;100.0;100;100.0;A;1;46.798278;1.693139
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZAR02;ZAR BLOIS;FR34061;Blois nord;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;5.0;5.3333333333;µg-m3;100.0;100;100.0;A;1;47.594256;1.302667
2023/01/02 00:00:00;2023/01/02 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34065;Montargis Fond;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.6375;µg-m3;100.0;100;100.0;A;1;47.996994;2.731511
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34013;Gambetta;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;10.0;10.0416666667;µg-m3;100.0;100;100.0;A;1;47.907083;1.901139
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34014;St Jean;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;9.8208333333;µg-m3;100.0;100;100.0;A;1;47.917398;1.966258
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34024;Joué lès Tours;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;10.4125;µg-m3;100.0;100;100.0;A;1;47.344139;0.653778
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34028;Pompidou;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;19.0;19.0291666667;µg-m3;100.0;100;100.0;A;1;47.394639;0.704861
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34029;La_Source-CNRS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;7.0;6.8541666667;µg-m3;100.0;100;100.0;A;1;47.83775;1.944667
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34030;Bourges-Baffier;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;12.0;12.25;µg-m3;100.0;100;100.0;A;1;47.075044;2.407183
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34032;Leblanc;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;12.0;11.9;µg-m3;100.0;100;100.0;A;1;47.082778;2.405333
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34041;Fulbert;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;10.0;9.5791666667;µg-m3;100.0;100;100.0;R;1;48.444417;1.510139
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34046;Dreux Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;8.0541666667;µg-m3;100.0;100;100.0;A;1;48.729694;1.358472
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34047;Saint-Remy;Périurbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;14.0;14.0458333333;µg-m3;100.0;100;100.0;A;1;48.760889;1.233639
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34051;Chateauroux Sud;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;8.4291666667;µg-m3;100.0;100;100.0;A;1;46.798278;1.693139
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZAR02;ZAR BLOIS;FR34061;Blois nord;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.8208333333;µg-m3;100.0;100;100.0;A;1;47.594256;1.302667
2023/01/03 00:00:00;2023/01/03 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34065;Montargis Fond;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.775;µg-m3;50.0;100;50.0;N;-1;47.996994;2.731511
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34013;Gambetta;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;6.0;6.1625;µg-m3;100.0;100;100.0;A;1;47.907083;1.901139
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34014;St Jean;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;5.0;5.0375;µg-m3;100.0;100;100.0;A;1;47.917398;1.966258
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34024;Joué lès Tours;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;5.0;5.2625;µg-m3;100.0;100;100.0;A;1;47.344139;0.653778
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZAG01;ZAG TOURS;FR34028;Pompidou;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;11.0;10.975;µg-m3;100.0;100;100.0;R;1;47.394639;0.704861
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZAG02;ZAG ORLEANS;FR34029;La_Source-CNRS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;5.0;4.5583333333;µg-m3;100.0;100;100.0;A;1;47.83775;1.944667
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34030;Bourges-Baffier;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. journalière;7.0;7.175;µg-m3;100.0;100;100.0;A;1;47.075044;2.407183
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34032;Leblanc;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;5.0;5.4833333333;µg-m3;100.0;100;100.0;A;1;47.082778;2.405333
2023/01/04 00:00:00;2023/01/04 23:59:59;LIG'AIR;FR24ZRE02;ZR CENTRE-VAL-DE-LOIRE;FR34041;Fulbert;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. journalière;4.0;3.5833333333;µg-m3;100.0;100;100.0;R;1;48.444417;1.510139
