Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26005;Dijon Péjoces;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.7;7.6826086957;µg-m3;96.0;100;96.0;A;1;47.307368;5.065881
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26012;Morvan;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;8.7;8.7083333333;µg-m3;100.0;100;100.0;A;1;47.274762;4.099476
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26019;Auxerre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.3;7.345;µg-m3;83.0;100;83.0;A;1;47.800575;3.576189
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26094;Dijon Ardennes;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;6.8;6.7666666667;µg-m3;100.0;100;100.0;A;1;47.351367;5.070706
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR04;ZAR CHALON;FR32001;Chalon Centre Ville;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;9.3;9.2916666667;µg-m3;100.0;100;100.0;A;1;46.782311;4.847322
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR32005;Montceau-les-Mines 9me écluse;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;10.0;10.3958333333;µg-m3;100.0;100;100.0;A;1;46.678785;4.366893
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR32006;Macon Paul Bert;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;8.5;8.4833333333;µg-m3;100.0;100;100.0;A;1;46.316172;4.839994
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR03;ZAR BESANCON;FR82006;Besancon Prevoyance;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;4.7;4.725;µg-m3;100.0;100;100.0;A;1;47.2474;6.015419
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR01;ZAR BELFORT-MONTBELIARD;FR82010;Montbéliard centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;11.0;11.425;µg-m3;100.0;100;100.0;R;1;47.510307;6.794
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82050;Lons-le-Saunier CV;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;6.9;6.85;µg-m3;100.0;100;100.0;A;1;46.671321;5.55662
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR82070;Baume-les-Dames;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;8.4;8.4416666667;µg-m3;100.0;100;100.0;A;1;47.351288;6.359722
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26005;Dijon Péjoces;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;9.7;9.7217391304;µg-m3;96.0;100;96.0;A;1;47.307368;5.065881
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26012;Morvan;Rurale nationale;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;6.5;6.5458333333;µg-m3;100.0;100;100.0;A;1;47.274762;4.099476
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZRE01;ZR BOURGOGNE-FRANCHE-COMTE;FR26019;Auxerre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. journalière;7.7;7.7208333333;µg-m3;100.0;100;100.0;A;1;47.800575;3.576189
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO BOURGOGNE-FRANCHE-COMTE;FR27ZAR02;ZAR DIJON;FR26094;Dijon Ardennes;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. journalière;7.5;7.4545454545;µg-m3;92.0;100;92.0;A;1;47.351367;5.070706
