Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09304;AIRVAULT 3;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;80.7;80.675;µg-m3;100.0;100;100.0;R;1;46.823796;-0.135634
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31007;BASSENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.35;µg-m3;96.0;100;96.0;R;1;44.900296;-0.515835
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31020;LACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;6.7;6.675;µg-m3;100.0;100;100.0;R;1;43.41123;-0.617728
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31021;LABASTIDE CEZERACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.2;3.15;µg-m3;100.0;100;100.0;R;1;43.376279;-0.538206
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31022;LAGOR;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;67.5;67.5;µg-m3;100.0;100;100.0;R;1;43.409857;-0.673155
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31023;MASLACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;70.5;70.525;µg-m3;96.0;100;96.0;R;1;43.436455;-0.695041
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31024;MOURENX;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.3;µg-m3;96.0;100;96.0;A;1;43.377194;-0.610278
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31026;TARTAS Pelletrin;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.7;0.65;µg-m3;100.0;100;100.0;R;1;43.838876;-0.81203
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR35002;ST JUNIEN - Fontaine;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.5;2.475;µg-m3;100.0;100;100.0;R;1;45.884851;0.898431
2023/01/01 00:00:00;2023/01/01 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR35019;SAILLAT - Ipaper;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-1.9;-1.85;µg-m3;100.0;100;100.0;R;1;45.875834;0.823951
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09304;AIRVAULT 3;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.875;µg-m3;100.0;100;100.0;R;1;46.823796;-0.135634
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31007;BASSENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.5;1.5;µg-m3;100.0;100;100.0;R;1;44.900296;-0.515835
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31020;LACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;7.7;7.675;µg-m3;100.0;100;100.0;R;1;43.41123;-0.617728
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31021;LABASTIDE CEZERACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.3;2.325;µg-m3;100.0;100;100.0;R;1;43.376279;-0.538206
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31022;LAGOR;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;25.0;24.95;µg-m3;100.0;100;100.0;R;1;43.409857;-0.673155
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31023;MASLACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;5.7;5.675;µg-m3;100.0;100;100.0;R;1;43.436455;-0.695041
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31024;MOURENX;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.4;2.375;µg-m3;96.0;100;96.0;A;1;43.377194;-0.610278
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31026;TARTAS Pelletrin;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.475;µg-m3;96.0;100;96.0;R;1;43.838876;-0.81203
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR35002;ST JUNIEN - Fontaine;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.3;2.275;µg-m3;100.0;100;100.0;R;1;45.884851;0.898431
2023/01/02 00:00:00;2023/01/02 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR35019;SAILLAT - Ipaper;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.8;-0.83333;µg-m3;100.0;100;100.0;R;1;45.875834;0.823951
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR09304;AIRVAULT 3;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.6;0.6;µg-m3;100.0;100;100.0;R;1;46.823796;-0.135634
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZAG01;ZAG BORDEAUX;FR31007;BASSENS;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.8;3.825;µg-m3;100.0;100;100.0;R;1;44.900296;-0.515835
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31020;LACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;-0.6;-0.6;µg-m3;100.0;100;100.0;R;1;43.41123;-0.617728
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31021;LABASTIDE CEZERACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.425;µg-m3;96.0;100;96.0;R;1;43.376279;-0.538206
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31022;LAGOR;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;14.8;14.775;µg-m3;100.0;100;100.0;R;1;43.409857;-0.673155
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31023;MASLACQ;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;32.3;32.275;µg-m3;100.0;100;100.0;R;1;43.436455;-0.695041
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31024;MOURENX;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.85;µg-m3;92.0;100;92.0;R;1;43.377194;-0.610278
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR31026;TARTAS Pelletrin;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.15;µg-m3;100.0;100;100.0;R;1;43.838876;-0.81203
2023/01/03 00:00:00;2023/01/03 23:59:59;ATMO NOUVELLE-AQUITAINE;FR75ZRE02;ZR NOUVELLE-AQUITAINE;FR35002;ST JUNIEN - Fontaine;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.125;µg-m3;100.0;100;100.0;R;1;45.884851;0.898431
