id_arrete,id_zone,nom_zone,code_zone,code_departement,nom_departement,numero_arrete,numero_arrete_cadre,date_signature,debut_validite_arrete,fin_validite_arrete,nom_niveau,statut_arrete
34016,11621,nappe du Ried centre Alsace - secteur 4 (Sud Est) - partie dpt 67,44_67_08,67,Bas-Rhin,AP202309123abrogationS4,ACI Bas-Rhin Haut-Rhin,2023-09-13,2023-09-13,,Alerte,Publié
34264,10945,bassin de la Truyère,76_48_0001,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10946,bassin de la Colagne,76_48_0002,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10947,cours d'eau Colagne,76_48_0003,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10948,bassin du Lot,76_48_0004,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34264,10949,bassin du Bramont,76_48_0005,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACI Lot),ACI BASSIN DU LOT 2023-176,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10957,bassin du Chassezac,76_48_0013,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10958,bassin de la Cèze,76_48_0014,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10959,bassin des Gardons,76_48_0015,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Alerte,Terminé
34265,10960,bassin de l'Hérault,76_48_0016,48,Lozère,DDT-BIEF-2023-278-0002 du 5 octobre (ACD RM),ACD RM DDT-BIEF 2023-199-0003_18/07/2023,2023-10-05,2023-10-07,2024-11-18,Vigilance,Terminé
34514,12084,Bassin versant de l'Agout,76_34_0012,34,Hérault,DDTM34-2023-10-14288,ACI_BV_TARN_2023,2023-10-31,2023-10-31,,Alerte renforcée,Publié
34514,12089,Bassin versant du Thoré amont,76_34_0019,34,Hérault,DDTM34-2023-10-14288,ACI_BV_TARN_2023,2023-10-31,2023-10-31,,Alerte renforcée,Publié
