Longitud,Latitud,weighted_adjusted_score
3.02037,50.62743,0.125
3.02037,50.62743,0.125
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.125
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.02037,50.62743,0.25
3.03845,50.61625,0.125
3.03845,50.61625,0.125
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.125
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.03845,50.61625,0.25
3.10665,50.62234,0.125
3.10665,50.62234,0.125
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.125
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.10665,50.62234,0.25
3.0086,50.64677,0.125
3.0086,50.64677,0.125
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.125
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.0086,50.64677,0.25
3.08955,50.62143,0.125
3.08955,50.62143,0.125
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.125
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.25
3.08955,50.62143,0.25
